sub,Rich_Self,Rich_Other,Poor_Self,Poor_Other
1,16.85056536,16.2870455,13.6247908,13.43926246
2,19.05062375,18.46398875,15.54139895,15.41448494
3,17.20741214,18.24845582,14.58672458,15.72431737
4,11.01041402,11.28303925,10.23994176,12.05699276
5,17.24653861,18.48068251,14.95429317,13.81206966
6,16.65854139,17.17293056,14.61627949,14.54085656
7,19.3471259,19.32912764,14.65215582,15.89945124
8,18.12236385,18.63693762,15.45897455,15.31485088
9,13.11804853,18.26002541,11.06953875,14.57651615
10,15.24185374,13.07332084,10.6601912,10.25153489
11,19.1338492,8.946828595,14.64146964,8.287326346
12,19.37164123,19.17316228,15.54636749,15.76676279
13,19.36293855,16.23355331,15.44869087,16.16957782
14,18.39242601,18.9633135,15.47637793,15.31589891
15,18.24835896,18.58504514,15.23808075,14.63160842
16,16.58199876,16.74764328,14.86683161,13.91494317
17,18.90660586,18.63834234,15.41519843,15.84780603
18,14.80510377,15.61261446,12.9264891,13.15831195
19,18.93861503,17.46107878,14.75555884,14.50299978
20,12.00399005,13.13484585,9.33833198,11.58366098
21,17.5686925,18.46797836,15.89281193,14.27514413
22,17.52412557,18.85624299,15.78730157,14.85339163
23,17.70968482,17.06771556,15.11591412,14.92036725
24,16.75268229,14.98770405,13.11573874,12.58906111
25,18.13503496,16.23740459,13.47978913,13.32407282
26,16.75684873,16.4885359,12.7003279,13.08404383
27,18.42418224,19.13977264,15.35739229,15.00531888
28,17.05241633,19.27996546,15.23784592,15.57323195
29,11.92131774,14.71297512,10.86211606,9.749892445
30,17.75911043,17.11073842,12.57067874,13.42338566
31,18.71822584,18.81826734,16.01476112,14.74189317
32,14.72852137,18.44147682,14.62663715,13.56733267
33,18.68031604,19.14310064,14.35235529,14.38497035
34,13.4702174,15.66687784,11.7134464,13.55749523
35,18.64775531,19.26047719,14.96270955,15.69458112
36,17.21737263,19.48077525,15.12509165,15.31985929
37,18.27532583,17.92122007,14.21288974,13.75017313
38,8.489920228,13.97421756,8.10596674,10.43844314
39,12.97629121,13.19489338,11.1775793,11.72411656
40,18.53999564,18.99712291,15.34114782,15.90191152
